track_number,explicit,artist_popularity,album_total_tracks,track_duration_min,artist_followers_log,is_album,is_compilation,is_single,track_artist_ratio,dur_Short,dur_Medium,dur_Long,is_collaboration,release_month,Is_Top_50
1,1,-2.531455051,0,0.430528376,-1.902053422,0,0,1,0.337661846,0,1,0,0,10,
10,1,1.540862215,0.061111111,0.675146771,1.236027391,1,0,0,1.107605762,0,0,1,0,10,
8,1,1.540862215,0.061111111,0.661448141,1.236027391,1,0,0,1.107605762,0,1,0,0,10,
9,1,1.540862215,0.061111111,0.47553816,1.236127237,1,0,0,1.107605762,0,1,0,0,10,
1,0,0.370071001,0,0.700587084,-0.051758184,0,0,1,2.455851891,0,0,1,0,10,
3,0,0.675494796,0.011111111,0.708414873,0.503375016,0,0,1,1.407607452,0,0,1,0,10,
5,1,1.540862215,0.061111111,0.788649706,1.236027391,1,0,0,1.080354224,0,0,1,0,10,
2,0,1.540862215,0.061111111,0.665362035,1.236224006,1,0,0,1.162108838,0,1,0,0,10,
1,0,-2.124223324,0,0.581213307,-1.961705378,0,0,1,0.244253299,0,1,0,0,10,
4,1,1.540862215,0.061111111,0.679060665,1.236335443,1,0,0,1.1348573,0,0,1,0,10,
2,0,-0.95343211,0.027777778,0.714285714,-0.250889637,0,0,1,0.764400032,0,0,1,0,10,
3,0,1.540862215,0.138888889,0.722113503,1.236127237,1,0,0,0.617078081,0,0,1,0,10,
1,0,-2.378743154,0,0.594911937,-2.020965122,0,0,1,0.182813646,0,1,0,0,10,
1,0,-1.666087632,0,0.467710372,-2.392954073,0,0,1,0.008977687,0,1,0,0,10,
1,0,-2.531455051,0,0.684931507,-1.97886101,0,0,1,0.271311217,0,0,1,0,10,
1,0,-2.531455051,0,0.544031311,-2.05390964,0,0,1,0.354249503,0,1,0,0,10,
1,0,-0.037160725,0,0.477495108,0.266679819,0,0,1,-1.85749974,0,1,0,0,10,
1,1,-2.938686778,0,0.497064579,-3.189568329,0,0,1,0.590939051,0,1,0,0,10,
2,0,-2.887782812,0.022222222,0.477495108,-3.576472676,0,0,1,0.426865171,0,1,0,0,10,
1,1,-2.073319359,0,0.442270059,-1.833948374,0,0,1,0.12873226,0,1,0,0,10,
1,0,-2.887782812,0,0.571428571,-2.796542386,0,0,1,0.354160765,0,1,0,0,10,
1,0,-2.938686778,0,0.702544031,-3.942057839,0,0,1,0.36231499,0,0,1,0,10,
1,1,0.217359104,0.011111111,0.53816047,-0.195946345,0,0,1,3.022158436,0,1,0,0,10,
1,1,-2.836878846,0,0.604696673,-2.922738898,0,0,1,0.3901193,0,1,0,0,9,
1,1,-3.142302641,0,0.318982387,-3.729038573,0,0,1,0.378926889,1,0,0,0,9,
1,1,-2.378743154,0,0.489236791,-2.167003277,0,0,1,0.288729015,0,1,0,0,9,
1,1,0.420974967,0,0.371819961,0.014387134,0,0,1,2.458132487,0,1,0,0,9,
1,1,-3.244110573,0,0.418786693,-4.114039991,0,0,1,0.457641395,0,1,0,0,9,
